"2011-01-01","2011-01-01"
"2011.01.01","2011-01-01"
"2011 01 01","2011-01-01"
"2011/01/01","2011-01-01"
"2011|01|01","2011-01-01"
"2011_01_01","2011-01-01"
"20110101","2011-01-01"
"2011-1-1","2011-01-01"
"2011/1/1","2011-01-01"
"2011-1-01","2011-01-01"
"2011  01 01","2011-01-01"
"1/1/2011","2011-01-01"
"01/01/2011","2011-01-01"
"1-1-2011","2011-01-01"
"January 1 2011","2011-01-01"
"Januaty 1 2011","2011-01-01"
"January 1, 2011","2011-01-01"
"January 1st 2011","2011-01-01"
"January 1st, 2011","2011-01-01"
"January 1nd, 2011","2011-01-01"
"Jan 1 2011","2011-01-01"
"Jan 1, 2011","2011-01-01"
"Jan 1st 2011","2011-01-01"
"Jan 1st, 2011","2011-01-01"
"Jan. 1 2011","2011-01-01"
"Jan. 1, 2011","2011-01-01"
"Jan. 1st 2011","2011-01-01"
"Jan. 1st, 2011","2011-01-01"
"1 January 2011","2011-01-01"
"1 January, 2011","2011-01-01"
"Friday, 1 January, 2011","2011-01-01"
"First Friday of January 2011","2011-01-01"
"Fri 1 January, 2011","2011-01-01"
"2011/01/05","2011-01-05"
"2011/1/5","2011-01-05"
"2011/06/25","2011-06-25"
"2011/25/06","2011-06-25"
"06/25/2011","2011-06-25"
"25/06/2011","2011-06-25"
"January 5 2011","2011-01-05"
"January 5th 2011","2011-01-05"
"5 January 2011","2011-01-05"
"5th of January 2011","2011-01-05"
"２０１１年１月１日","2011-01-01"